Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
26,Travel_Rarely,1055,Research & Development,9,4,Marketing,2,Female,61,3,2,Healthcare Representative,1,Married,6389,25573,3,Yes,11,4,3,1,1,2,2,1,0,1,1,Yes
18,Travel_Rarely,561,Human Resources,2,3,Life Sciences,3,Female,85,3,5,Human Resources,1,Divorced,4747,11269,2,Yes,11,3,4,0,2,4,3,2,0,5,5,No
53,Travel_Rarely,1319,Research & Development,4,3,Life Sciences,1,Male,92,4,2,Research Scientist,4,Single,1652,19502,1,No,11,4,4,1,6,3,3,6,2,1,1,No
52,Travel_Rarely,656,Research & Development,10,3,Life Sciences,3,Female,33,3,3,Manufacturing Director,3,Single,3894,26787,1,Yes,11,3,1,1,13,3,2,13,12,0,5,No
19,Travel_Rarely,991,Sales,20,3,Medical,3,Female,40,2,3,Sales Representative,4,Single,1009,4620,3,No,16,4,3,0,9,4,2,9,7,1,0,Yes
57,Travel_Frequently,737,Sales,3,1,Medical,3,Female,32,3,4,Sales Executive,2,Single,3768,17106,5,Yes,15,3,4,2,5,1,3,5,4,2,0,No
40,Travel_Rarely,1145,Sales,2,3,Medical,3,Male,56,2,1,Sales Representative,1,Married,7570,25080,2,No,17,3,4,0,3,3,3,3,0,1,2,No
26,Travel_Rarely,1032,Research & Development,8,1,Life Sciences,2,Male,73,1,1,Research Director,3,Married,6348,26297,2,No,19,3,3,2,3,3,3,3,0,2,2,No
51,Non-Travel,412,Research & Development,1,5,Medical,4,Male,47,3,2,Manufacturing Director,4,Single,13469,19521,1,No,16,3,4,1,14,3,3,14,12,1,1,No
31,Travel_Rarely,943,Research & Development,11,4,Marketing,3,Female,59,3,4,Laboratory Technician,3,Divorced,5386,20983,1,No,11,4,2,1,0,1,3,0,0,0,3,No
