age,business_travel,daily_rate,department,distance_from_home,education,education_field,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,attrition
26,travel_rarely,1212,research_&_development,11,4,marketing,2,female,74,3,2,healthcare_representative,1,married,7282,25573,3,yes,11,4,3,1,1,2,2,1,0,1,1,yes
18,travel_rarely,588,human_resources,2,3,life_sciences,3,female,94,3,5,human_resources,1,divorced,5573,11269,2,yes,11,3,4,0,2,4,3,2,0,5,5,no
53,travel_rarely,1499,research_&_development,5,3,life_sciences,1,male,95,4,2,research_scientist,4,single,1857,19502,1,yes,11,4,4,1,6,3,3,7,2,1,1,no
52,travel_rarely,699,research_&_development,12,3,life_sciences,3,female,37,3,3,manufacturing_director,3,single,4370,26787,1,yes,11,3,1,1,13,3,2,16,12,0,5,no
19,travel_rarely,1210,sales,23,3,medical,3,female,48,2,3,sales_representative,4,single,1260,4620,3,no,16,4,3,0,9,4,2,10,7,1,0,yes
57,travel_frequently,833,sales,4,1,medical,3,female,39,3,4,sales_executive,2,single,4596,17106,5,yes,15,3,4,2,5,1,3,6,4,2,0,no
40,travel_rarely,1360,sales,2,3,medical,3,male,62,2,1,sales_representative,1,married,8741,25080,2,no,17,3,4,0,3,3,3,3,0,1,2,no
26,travel_rarely,1120,research_&_development,9,1,life_sciences,2,male,85,1,1,research_director,3,married,7390,26297,2,no,19,3,3,2,3,3,3,4,0,2,2,no
51,non-travel,492,research_&_development,1,5,medical,4,male,57,3,2,manufacturing_director,4,single,16007,19521,1,no,16,3,4,1,14,3,3,15,12,1,1,no
31,travel_rarely,1112,research_&_development,13,4,marketing,3,female,71,3,4,laboratory_technician,3,divorced,6530,20983,1,no,11,4,2,1,0,1,3,0,0,0,3,no
21,travel_frequently,910,sales,11,2,medical,2,male,119,3,1,sales_representative,4,divorced,6184,14100,2,yes,13,3,2,1,30,1,1,37,26,0,1,no
